idx,actual,predicted,prob_X1,prob_diff,misclassified,error_type,validation_type,numCrash,log_exp,DOWNTOWN_Y,Presence.of.stop.sign,Presence.of.curve.sign,Presence.of.vehicle.sign,Roadway.segment.count,TradeLandUse,ServiceLandUse,RecreationalLandUse,UnderdevelopedLandUse,Total.sidewalk.length..ft.,TransportationLandUse,crsh_oddyr,crsh_eveny,crash
4024,X0,X1,0.9999116659164429,0.9999116659164429,TRUE,False Positive,spatial,0,0.02559119550088642,0,0,0,0,3,0.418048662,0.118706239,0,0.007560978,0,0.196560915,NA,NA,NA
3371,X0,X1,0.9999024868011475,0.9999024868011475,TRUE,False Positive,spatial,0,0.02280714549754979,0,0,0,0,3,0.330480405,0.157692296,0,0.014978048,0,0.20151218,NA,NA,NA
6801,X0,X1,0.99986732006073,0.99986732006073,TRUE,False Positive,spatial,0,-0.1410497181918099,0,1,0,0,4,0.3118054,0.07162842,0,0.05802607,0.1465123,0.2105085,NA,NA,NA
14045,X0,X1,0.9998669624328613,0.9998669624328613,TRUE,False Positive,spatial,0,-0.20034395230299679,0,0,0,0,3,0.3256318,0.08888436000000001,0,0.0258121,0,0.2663906,NA,NA,NA
6663,X0,X1,0.9998171925544739,0.9998171925544739,TRUE,False Positive,spatial,0,0.05561416317818754,0,0,0,0,3,0.4388618,0.1137095,0,9.91e-5,0,0.1857305,NA,NA,NA
6186,X1,X0,2.492503554094583e-4,0.9997507496445905,TRUE,False Negative,spatial,0,-0.09771921550031855,0,0,0,0,3,0,0.4818552,0,0.0730228,0,0,NA,NA,NA
11256,X0,X1,0.9997267127037048,0.9997267127037048,TRUE,False Positive,spatial,1,-0.2600770000691928,0,1,0,1,3,0.269004551,0.109079426,0,0.007941371,0.5462143,0.1900351,NA,NA,NA
82,X1,X0,2.827564312610775e-4,0.9997172435687389,TRUE,False Negative,spatial,6,0.903376461479378,0,0,0,0,3,0.006090399,0.682974558,0.042189391,0.034601041,0.2654877573,0,2,4,6
10512,X0,X1,0.9996973276138306,0.9996973276138306,TRUE,False Positive,spatial,0,-0.2406872796296471,0,0,0,0,3,0.4032027,0.04734055,0,0.03947399,0,0.2797103,NA,NA,NA
333,X0,X1,0.9996809959411621,0.9996809959411621,TRUE,False Positive,spatial,0,0.1572082701737874,0,1,0,0,3,0.282320652,0.116358779,0,0.007716681,0.1417852403,0.186321626,NA,NA,NA
2950,X1,X0,3.2043448300100863e-4,0.999679565516999,TRUE,False Negative,spatial,0,0.2184140828056259,0,0,0,0,4,0,0.49387047,0,0.067097304,0.09868272096,0,NA,NA,NA
2265,X1,X0,3.3244100632146e-4,0.9996675589936785,TRUE,False Negative,spatial,0,-0.6967642132788356,0,0,0,0,3,0,0.44684712,0,0.070874083,0,0,NA,NA,NA
11253,X0,X1,0.9996606111526489,0.9996606111526489,TRUE,False Positive,spatial,1,-0.2564744926020651,0,1,0,0,3,0.269004551,0.109079426,0,0.007941371,0.6143023,0.1813814,NA,NA,NA
4023,X0,X1,0.9996515512466431,0.9996515512466431,TRUE,False Positive,spatial,0,0.1362052741880799,0,0,0,0,3,0.459473179,0.112277723,0,0.009729056,0,0.170381261,NA,NA,NA
