"validation","model","subsampling","set","accuracy","balanced_accuracy","precision","recall","f1_score","mcc","auc_roc"
"spatial","xgbTree","smote","M1",0.854284761587196,0.587899984132861,0.519553072625698,0.209459459459459,0.298555377207063,0.263544926470154,0.801033678002856
"spatial","xgbTree","smote","M3",0.857785928642881,0.601585171276952,0.545219638242894,0.237612612612613,0.330980392156863,0.293698432689934,0.827435605860263
"spatial","xgbTree","up","M1",0.804434811603868,0.671225824650482,0.375109553023663,0.481981981981982,0.421882700837851,0.309876984584794,0.794545891292467
"spatial","xgbTree","up","M3",0.807935978659553,0.711893522681194,0.397356143079316,0.57545045045045,0.470101195952162,0.366725816776059,0.816157265386717
"temporal","entropy","down","M1",0.00492610837438424,0.5,NA,0,NA,NA,0.5
"temporal","entropy","down","M3",0.00492610837438424,0.5,NA,0,NA,NA,0.5
"temporal","entropy","none","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","entropy","none","M2",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","entropy","none","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","entropy","rose","M1",0.512315270935961,0.555940594059406,0.996146435452794,0.511881188118812,0.676258992805755,0.0156703335815046,0.597425742574257
"temporal","entropy","rose","M2",0.131034482758621,0.563366336633663,1,0.126732673267327,0.224956063268893,0.0267280632393807,0.563366336633663
"temporal","entropy","rose","M3",0.477832512315271,0.638118811881188,0.99792531120332,0.476237623762376,0.644772117962466,0.0387294558267193,0.680990099009901
"temporal","entropy","smote","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","entropy","smote","M2",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","entropy","smote","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","entropy","up","M1",0.827586206896552,0.614851485148515,0.996432818073722,0.82970297029703,0.905456509994597,0.0426716737701563,0.614851485148515
"temporal","entropy","up","M3",0.827586206896552,0.614851485148515,0.996432818073722,0.82970297029703,0.905456509994597,0.0426716737701563,0.614851485148515
"temporal","forest","down","M1",0.685714285714286,0.444059405940594,0.994277539341917,0.688118811881188,0.813341135166764,-0.0169168940591478,0.478217821782178
"temporal","forest","down","M3",0.703448275862069,0.353465346534653,0.993045897079277,0.706930693069307,0.825910931174089,-0.0451445912962014,0.495247524752475
"temporal","forest","none","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.55960396039604
"temporal","forest","none","M2",0.993103448275862,0.499009900990099,0.995064165844028,0.998019801980198,0.996539792387543,-0.00312632836114946,0.482673267326733
"temporal","forest","none","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.70009900990099
"temporal","forest","rose","M1",0.877832512315271,0.540594059405941,0.995525727069351,0.881188118811881,0.934873949579832,0.0175419037233035,0.786633663366337
"temporal","forest","rose","M2",0.52512315270936,0.661881188118812,0.99811320754717,0.523762376237624,0.687012987012987,0.0453798717147907,0.607227722772277
"temporal","forest","rose","M3",0.859113300492611,0.630693069306931,0.996563573883162,0.861386138613861,0.924057355284121,0.0527566181321562,0.814059405940594
"temporal","forest","smote","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.546930693069307
"temporal","forest","smote","M2",0.993103448275862,0.499009900990099,0.995064165844028,0.998019801980198,0.996539792387543,-0.00312632836114946,0.481683168316832
"temporal","forest","smote","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.69980198019802
"temporal","forest","up","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.44039603960396
"temporal","forest","up","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.662376237623762
"temporal","gbm","none","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.578316831683168
"temporal","gbm","none","M2",0.993103448275862,0.499009900990099,0.995064165844028,0.998019801980198,0.996539792387543,-0.00312632836114946,0.651782178217822
"temporal","gbm","none","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","gbm","rose","M1",0.884729064039409,0.643564356435644,0.996662958843159,0.887128712871287,0.938711367207962,0.0631849247632907,0.789108910891089
"temporal","gbm","rose","M2",0.447290640394089,0.722277227722772,1,0.444554455445545,0.615490061686086,0.0626670527502478,0.695445544554456
"temporal","gbm","rose","M3",0.841379310344828,0.621782178217822,0.996491228070175,0.843564356435644,0.913672922252011,0.0467968233802079,0.741188118811881
"temporal","gbm","smote","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.49950495049505
"temporal","gbm","smote","M2",0.993103448275862,0.499009900990099,0.995064165844028,0.998019801980198,0.996539792387543,-0.00312632836114946,0.668910891089109
"temporal","gbm","smote","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.57029702970297
"temporal","gbm","up","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.52950495049505
"temporal","gbm","up","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.457821782178218
"temporal","gini","down","M1",0.00492610837438424,0.5,NA,0,NA,NA,0.5
"temporal","gini","down","M3",0.00492610837438424,0.5,NA,0,NA,NA,0.5
"temporal","gini","none","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","gini","none","M2",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","gini","none","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","gini","rose","M1",0.472906403940887,0.635643564356436,0.9979035639413,0.471287128712871,0.640215198386012,0.0380561237588674,0.635643564356436
"temporal","gini","rose","M2",0.131034482758621,0.563366336633663,1,0.126732673267327,0.224956063268893,0.0267280632393807,0.563366336633663
"temporal","gini","rose","M3",0.446305418719212,0.721782178217822,1,0.443564356435644,0.614540466392318,0.0625420039760259,0.721782178217822
"temporal","gini","smote","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","gini","smote","M2",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","gini","smote","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.5
"temporal","gini","up","M1",0.827586206896552,0.614851485148515,0.996432818073722,0.82970297029703,0.905456509994597,0.0426716737701563,0.614851485148515
"temporal","gini","up","M3",0.827586206896552,0.614851485148515,0.996432818073722,0.82970297029703,0.905456509994597,0.0426716737701563,0.614851485148515
"temporal","linear","down","M1",0.603940886699507,0.701485148514851,0.998360655737705,0.602970297029703,0.751851851851852,0.0576137701127053,0.56950495049505
"temporal","linear","down","M3",0.540886699507389,0.66980198019802,0.998168498168498,0.53960396039604,0.700514138817481,0.0476909191402183,0.523762376237624
"temporal","linear","none","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.757623762376238
"temporal","linear","none","M2",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.608316831683168
"temporal","linear","none","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.82019801980198
"temporal","linear","rose","M1",0.733990147783251,0.567821782178218,0.99597855227882,0.735643564356436,0.84624145785877,0.0215178724424303,0.78970297029703
"temporal","linear","rose","M2",0.331034482758621,0.564356435643564,0.996996996996997,0.328712871287129,0.494415487714073,0.0191934640463139,0.608316831683168
"temporal","linear","rose","M3",0.759605911330049,0.580693069306931,0.996113989637306,0.761386138613861,0.86307519640853,0.0264789117827204,0.77980198019802
"temporal","linear","smote","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.757623762376238
"temporal","linear","smote","M2",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.608316831683168
"temporal","linear","smote","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.82019801980198
"temporal","linear","up","M1",0.794088669950739,0.598019801980198,0.996282527881041,0.796039603960396,0.884975233902036,0.0340033002808893,0.793069306930693
"temporal","linear","up","M3",0.801970443349754,0.601980198019802,0.996319018404908,0.803960396039604,0.88986301369863,0.0359002715372262,0.731683168316832
"temporal","reg","down","M1",0.616748768472906,0.707920792079208,0.998394863563403,0.615841584158416,0.761788120024495,0.0597979848524957,0.66019801980198
"temporal","reg","down","M3",0.778325123152709,0.391089108910891,0.993710691823899,0.782178217821782,0.875346260387812,-0.0370128128569861,0.627920792079208
"temporal","reg","none","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.819009900990099
"temporal","reg","none","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.796435643564356
"temporal","reg","rose","M1",0.750738916256158,0.675742574257426,0.997371879106439,0.751485148514851,0.857142857142857,0.0568124451975039,0.779207920792079
"temporal","reg","rose","M3",0.758620689655172,0.67970297029703,0.99739921976593,0.759405940594059,0.862282181000562,0.058721915919296,0.77980198019802
"temporal","reg","smote","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.819009900990099
"temporal","reg","smote","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.805346534653465
"temporal","reg","up","M1",0.793103448275862,0.597524752475248,0.996277915632754,0.795049504950495,0.884361233480176,0.0337714631975343,0.810891089108911
"temporal","reg","up","M3",0.795073891625616,0.598514851485149,0.996287128712871,0.797029702970297,0.885588558855885,0.0342362775555758,0.771485148514852
"temporal","weighted","down","M1",0.603940886699507,0.701485148514851,0.998360655737705,0.602970297029703,0.751851851851852,0.0576137701127053,0.56950495049505
"temporal","weighted","down","M3",0.540886699507389,0.66980198019802,0.998168498168498,0.53960396039604,0.700514138817481,0.0476909191402183,0.523762376237624
"temporal","weighted","none","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.778811881188119
"temporal","weighted","none","M2",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.608316831683168
"temporal","weighted","none","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.76
"temporal","weighted","rose","M1",0.34384236453202,0.172772277227723,0.985875706214689,0.345544554455446,0.511730205278592,-0.0961442717080312,0.795445544554455
"temporal","weighted","rose","M2",0.713300492610837,0.457920792079208,0.994497936726272,0.715841584158416,0.832469775474957,-0.0130701265221463,0.608316831683168
"temporal","weighted","rose","M3",0.303448275862069,0.351485148514851,0.990291262135922,0.302970297029703,0.46398786959818,-0.0451922516170702,0.775445544554455
"temporal","weighted","smote","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.778811881188119
"temporal","weighted","smote","M2",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.608316831683168
"temporal","weighted","smote","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.76
"temporal","weighted","up","M1",0.794088669950739,0.598019801980198,0.996282527881041,0.796039603960396,0.884975233902036,0.0340033002808893,0.793069306930693
"temporal","weighted","up","M3",0.801970443349754,0.601980198019802,0.996319018404908,0.803960396039604,0.88986301369863,0.0359002715372262,0.731683168316832
"temporal","xgbLinear","down","M1",0.63743842364532,0.718316831683168,0.998447204968944,0.636633663366337,0.777509068923821,0.0634794296801043,0.649207920792079
"temporal","xgbLinear","down","M3",0.650246305418719,0.724752475247525,0.998477929984779,0.64950495049505,0.787042591481704,0.0658651931953984,0.621980198019802
"temporal","xgbLinear","none","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.842376237623762
"temporal","xgbLinear","none","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.831287128712871
"temporal","xgbLinear","rose","M1",0.261083743842365,0.131188118811881,0.981481481481482,0.262376237623762,0.4140625,-0.116874716270302,0.835049504950495
"temporal","xgbLinear","rose","M3",0.25320197044335,0.127227722772277,0.980916030534351,0.254455445544554,0.404088050314465,-0.11928096877754,0.840594059405941
"temporal","xgbLinear","smote","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.83009900990099
"temporal","xgbLinear","smote","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.831485148514851
"temporal","xgbLinear","up","M1",0.807881773399015,0.604950495049505,0.996345919610231,0.80990099009901,0.893500819224467,0.0373755620862842,0.86
"temporal","xgbLinear","up","M3",0.8,0.600990099009901,0.996309963099631,0.801980198019802,0.888645090510148,0.0354187740746798,0.831485148514851
"temporal","xgbTree","down","M1",0.576354679802956,0.28960396039604,0.991525423728814,0.579207920792079,0.73125,-0.059716283956377,0.587227722772277
"temporal","xgbTree","down","M3",0.683743842364532,0.343564356435644,0.992846924177396,0.687128712871287,0.812170860152136,-0.0473074205547851,0.423960396039604
"temporal","xgbTree","none","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.645940594059406
"temporal","xgbTree","none","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.673069306930693
"temporal","xgbTree","rose","M1",0.386206896551724,0.592079207920792,0.997429305912596,0.384158415841584,0.554681915654039,0.026520108236769,0.414554455445545
"temporal","xgbTree","rose","M3",0.213793103448276,0.405940594059406,0.990740740740741,0.211881188118812,0.34910277324633,-0.0321793784220327,0.787920792079208
"temporal","xgbTree","smote","M1",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.639108910891089
"temporal","xgbTree","smote","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.692079207920792
"temporal","xgbTree","up","M1",0.947783251231527,0.476237623762376,0.99482936918304,0.952475247524752,0.973191704602934,-0.0156758715775837,0.672772277227723
"temporal","xgbTree","up","M3",0.995073891625616,0.5,0.995073891625616,1,0.997530864197531,NA,0.738910891089109
