idx,actual,predctd,prob_X1,prb_dff,msclssf,errr_ty,vldtn_t,log_exp,trade,service,recre,product,underdv,downtwn,avg_rd_,crsswl_,crv_sgn,seg_cnt,park_rd,C_DISTR,crsh_dd,crsh_vn,crash,lon_degree,lat_degree
"6088",X0,X1,0.983431875705719,0.983431875705719,"1",False Positive,spatial,6.054120857450880,0.060952180000000,29.172840000000001,0.015229640000000,0.000000000000000,0.068112150000000,2.000000000000000,17.600000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.332,47.603
"6089",X0,X1,0.983431875705719,0.983431875705719,"1",False Positive,spatial,6.054553017023660,0.060952180000000,29.172840000000001,0.015229640000000,0.000000000000000,0.068112150000000,2.000000000000000,17.600000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.332,47.603
"6088",X0,X1,0.995865878649056,0.995865878649056,"1",False Positive,temporal,6.054120857450880,0.060952180000000,29.172840000000001,0.015229640000000,0.000000000000000,0.068112150000000,2.000000000000000,17.600000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.332,47.603
"6089",X0,X1,0.995865878649056,0.995865878649056,"1",False Positive,temporal,6.054553017023660,0.060952180000000,29.172840000000001,0.015229640000000,0.000000000000000,0.068112150000000,2.000000000000000,17.600000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.332,47.603
"7639",X0,X1,0.996086359024048,0.996086359024048,"1",False Positive,spatial,4.784656971476190,0.066828886000000,15.939765100000001,0.228245853000000,0.000000000000000,0.035365868000000,1.000000000000000,34.100000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,4.000000000000000,4.000000000000000,-122.350,47.619
"7639",X0,X1,0.981438713148236,0.981438713148236,"1",False Positive,temporal,4.784656971476190,0.066828886000000,15.939765100000001,0.228245853000000,0.000000000000000,0.035365868000000,1.000000000000000,34.100000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,4.000000000000000,4.000000000000000,-122.350,47.619
"10894",X0,X1,0.992799162864685,0.992799162864685,"1",False Positive,spatial,5.526611502188460,0.101001600000000,17.433219999999999,0.023444710000000,0.000000000000000,0.085302620000000,1.000000000000000,14.699999999999999,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.333,47.613
"10905",X0,X1,0.992799162864685,0.992799162864685,"1",False Positive,spatial,5.496273116513170,0.101001600000000,17.433219999999999,0.023444710000000,0.000000000000000,0.085302620000000,1.000000000000000,14.699999999999999,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.333,47.613
"10894",X0,X1,0.982998879626393,0.982998879626393,"1",False Positive,temporal,5.526611502188460,0.101001600000000,17.433219999999999,0.023444710000000,0.000000000000000,0.085302620000000,1.000000000000000,14.699999999999999,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.333,47.613
"10905",X0,X1,0.982998879626393,0.982998879626393,"1",False Positive,temporal,5.496273116513170,0.101001600000000,17.433219999999999,0.023444710000000,0.000000000000000,0.085302620000000,1.000000000000000,14.699999999999999,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.333,47.613
"1297",X0,X1,0.982546210289001,0.982546210289001,"1",False Positive,spatial,5.264013833572790,0.085534730000000,28.905380800000000,0.015229638000000,0.000000000000000,0.072857259000000,2.000000000000000,19.199999999999999,2.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.333,47.602
"1297",X0,X1,0.991546662524343,0.991546662524343,"1",False Positive,temporal,5.264013833572790,0.085534730000000,28.905380800000000,0.015229638000000,0.000000000000000,0.072857259000000,2.000000000000000,19.199999999999999,2.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.333,47.602
"5164",X0,X1,0.992799162864685,0.992799162864685,"1",False Positive,spatial,5.333945106228470,0.101001600000000,17.433219999999999,0.023444710000000,0.000000000000000,0.085302620000000,1.000000000000000,14.699999999999999,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.333,47.613
"5164",X0,X1,0.978712275624275,0.978712275624275,"1",False Positive,temporal,5.333945106228470,0.101001600000000,17.433219999999999,0.023444710000000,0.000000000000000,0.085302620000000,1.000000000000000,14.699999999999999,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.333,47.613
"1420",X0,X1,0.993825435638428,0.993825435638428,"1",False Positive,spatial,4.687462921614450,0.066828886000000,15.939765100000001,0.228245853000000,0.000000000000000,0.035365868000000,1.000000000000000,34.100000000000001,1.000000000000000,1.000000000000000,3.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,4.000000000000000,4.000000000000000,-122.350,47.619
"1420",X0,X1,0.976820847019553,0.976820847019553,"1",False Positive,temporal,4.687462921614450,0.066828886000000,15.939765100000001,0.228245853000000,0.000000000000000,0.035365868000000,1.000000000000000,34.100000000000001,1.000000000000000,1.000000000000000,3.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,4.000000000000000,4.000000000000000,-122.350,47.619
"12749",X0,X1,0.983439624309540,0.983439624309540,"1",False Positive,spatial,5.015210974174240,0.070018388000000,17.676790600000000,0.013925373000000,0.000000000000000,0.114899863000000,2.000000000000000,18.600000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.329,47.601
"12749",X0,X1,0.986122589558363,0.986122589558363,"1",False Positive,temporal,5.015210974174240,0.070018388000000,17.676790600000000,0.013925373000000,0.000000000000000,0.114899863000000,2.000000000000000,18.600000000000001,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000,-122.329,47.601
"8656",X0,X1,0.989607989788055,0.989607989788055,"1",False Positive,spatial,4.990931707994630,0.160252200000000,20.454180000000001,0.006338477000000,0.000000000000000,0.061762220000000,1.000000000000000,25.699999999999999,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-122.338,47.614
"8656",X0,X1,0.979213088750839,0.979213088750839,"1",False Positive,temporal,4.990931707994630,0.160252200000000,20.454180000000001,0.006338477000000,0.000000000000000,0.061762220000000,1.000000000000000,25.699999999999999,1.000000000000000,1.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-122.338,47.614
