"idx","actual","predicted","prob_X1","prob_diff","misclassified","error_type","validation_type","log_exp","trade","service","recre","product","underdev","downtown","avg_road_w","crosswalk_","curve_sign","seg_count","park_ride","C_DISTRICT","crsh_oddyr","crsh_eveny","crash","lon","lat"
"7699","X0","X1",0.991332590579987,0.991332590579987,TRUE,"False Positive","spatial",5.085574358764,0.08243364,14.27482,0.1082272,0,0.04964688,2,18.9,1,1,2,1,7,0,1,1,1184412,838228.8
"7699","X0","X1",0.962075434625149,0.962075434625149,TRUE,"False Positive","temporal",5.085574358764,0.08243364,14.27482,0.1082272,0,0.04964688,2,18.9,1,1,2,1,7,0,1,1,1184412,838228.8
"454","X0","X1",0.99091500043869,0.99091500043869,TRUE,"False Positive","spatial",5.13152564393008,0.128646709,13.687658,0.010564952,0,0.067804425,2,19.6,1,1,2,1,7,0,1,1,1185075.581,837620.2985
"454","X0","X1",0.961023215204477,0.961023215204477,TRUE,"False Positive","temporal",5.13152564393008,0.128646709,13.687658,0.010564952,0,0.067804425,2,19.6,1,1,2,1,7,0,1,1,1185075.581,837620.2985
"3023","X0","X1",0.989500224590302,0.989500224590302,TRUE,"False Positive","spatial",5.1395767977709,0.128646709,13.687658,0.010564952,0,0.067804425,2,19.6,1,1,2,1,7,0,1,1,1185075.581,837620.2985
"8591","X0","X1",0.989500224590302,0.989500224590302,TRUE,"False Positive","spatial",5.13338717218599,0.128646709,13.687658,0.010564952,0,0.067804425,2,19.6,1,1,2,1,7,0,1,1,1185075.581,837620.2985
"3023","X0","X1",0.961023215204477,0.961023215204477,TRUE,"False Positive","temporal",5.1395767977709,0.128646709,13.687658,0.010564952,0,0.067804425,2,19.6,1,1,2,1,7,0,1,1,1185075.581,837620.2985
"8591","X0","X1",0.961023215204477,0.961023215204477,TRUE,"False Positive","temporal",5.13338717218599,0.128646709,13.687658,0.010564952,0,0.067804425,2,19.6,1,1,2,1,7,0,1,1,1185075.581,837620.2985
"12750","X0","X1",0.971141755580902,0.971141755580902,TRUE,"False Positive","spatial",5.08141279264786,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,1189176.316,832185.9225
"12750","X0","X1",0.97915898822248,0.97915898822248,TRUE,"False Positive","temporal",5.08141279264786,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,2,1,1,0,1,1,1189176.316,832185.9225
"376","X0","X1",0.982779085636139,0.982779085636139,TRUE,"False Positive","spatial",4.82770624020913,0.148727177,19.1186782,0.019948171,0,0.079523328,1,15.7,1,1,2,1,7,0,2,2,1187488.594,836696.96
"376","X0","X1",0.966929700225592,0.966929700225592,TRUE,"False Positive","temporal",4.82770624020913,0.148727177,19.1186782,0.019948171,0,0.079523328,1,15.7,1,1,2,1,7,0,2,2,1187488.594,836696.96
"8490","X0","X1",0.990513443946838,0.990513443946838,TRUE,"False Positive","spatial",4.78843667757138,0.107155941,14.8828846,0.019316062,0,0.102729308,1,14.5,1,1,2,1,7,0,0,0,1188508.605,837014.4163
"8490","X0","X1",0.959007449448109,0.959007449448109,TRUE,"False Positive","temporal",4.78843667757138,0.107155941,14.8828846,0.019316062,0,0.102729308,1,14.5,1,1,2,1,7,0,0,0,1188508.605,837014.4163
"8491","X0","X1",0.994368135929108,0.994368135929108,TRUE,"False Positive","spatial",4.57019059467793,0.107155941,14.8828846,0.019316062,0,0.102729308,1,29.3,1,1,2,1,7,0,0,0,1188508.605,837014.4163
"8491","X0","X1",0.954703714698553,0.954703714698553,TRUE,"False Positive","temporal",4.57019059467793,0.107155941,14.8828846,0.019316062,0,0.102729308,1,29.3,1,1,2,1,7,0,0,0,1188508.605,837014.4163
"9446","X0","X1",0.977961659431458,0.977961659431458,TRUE,"False Positive","spatial",4.82851777971704,0.08753481,13.08848,0.1002661,0,0.0578231,2,18.7,1,1,2,1,7,0,0,0,1183751,837960.8
"9446","X0","X1",0.971066547557712,0.971066547557712,TRUE,"False Positive","temporal",4.82851777971704,0.08753481,13.08848,0.1002661,0,0.0578231,2,18.7,1,1,2,1,7,0,0,0,1183751,837960.8
"12346","X0","X1",0.955795705318451,0.955795705318451,TRUE,"False Positive","spatial",4.61657166477798,0.09476573,28.71917,0.02807551,0,0.0307875,2,19.4,1,1,2,1,7,0,2,2,1187125,833797.9
"12346","X0","X1",0.99189468100667,0.99189468100667,TRUE,"False Positive","temporal",4.61657166477798,0.09476573,28.71917,0.02807551,0,0.0307875,2,19.4,1,1,2,1,7,0,2,2,1187125,833797.9
"5943","X0","X1",0.98639976978302,0.98639976978302,TRUE,"False Positive","spatial",4.59360324309227,0.1683675,14.84211,0.01499741,0,0.07836579,1,18,1,1,2,1,7,0,3,3,1186154,837509.3
"5943","X0","X1",0.960915431380272,0.960915431380272,TRUE,"False Positive","temporal",4.59360324309227,0.1683675,14.84211,0.01499741,0,0.07836579,1,18,1,1,2,1,7,0,3,3,1186154,837509.3
"5039","X0","X1",0.992520451545715,0.992520451545715,TRUE,"False Positive","spatial",4.49480630165294,0.107155941,14.8828846,0.019316062,0,0.102729308,1,29.3,1,1,2,1,7,0,0,0,1188508.605,837014.4163
"5039","X0","X1",0.954703714698553,0.954703714698553,TRUE,"False Positive","temporal",4.49480630165294,0.107155941,14.8828846,0.019316062,0,0.102729308,1,29.3,1,1,2,1,7,0,0,0,1188508.605,837014.4163
"12354","X0","X1",0.979642391204834,0.979642391204834,TRUE,"False Positive","spatial",4.84353821620262,0.08391508,15.57904,0.02789678,0,0.03735989,2,13.4,2,1,2,1,7,0,2,2,1183985,837309.8
"12354","X0","X1",0.967439293861389,0.967439293861389,TRUE,"False Positive","temporal",4.84353821620262,0.08391508,15.57904,0.02789678,0,0.03735989,2,13.4,2,1,2,1,7,0,2,2,1183985,837309.8
"3364","X0","X1",0.98872709274292,0.98872709274292,TRUE,"False Positive","spatial",4.35379424224223,0.068258997,15.1847984,0.219149645,0,0.042765317,2,30,1,1,2,1,7,0,0,0,1183494.13,838622.913
"3364","X0","X1",0.957930963486433,0.957930963486433,TRUE,"False Positive","temporal",4.35379424224223,0.068258997,15.1847984,0.219149645,0,0.042765317,2,30,1,1,2,1,7,0,0,0,1183494.13,838622.913
"9294","X0","X1",0.976645112037659,0.976645112037659,TRUE,"False Positive","spatial",4.60047127088201,0.1685106,20.38694,0.006338477,0,0.07103901,1,21.3,1,1,2,1,7,0,1,1,1187180,837002.3
"9294","X0","X1",0.969968765974045,0.969968765974045,TRUE,"False Positive","temporal",4.60047127088201,0.1685106,20.38694,0.006338477,0,0.07103901,1,21.3,1,1,2,1,7,0,1,1,1187180,837002.3
"12236","X0","X1",0.987903296947479,0.987903296947479,TRUE,"False Positive","spatial",4.25969860197366,0.074169206,14.66639,0.102602347,0,0.105074037,1,28.9,1,1,2,1,1,0,2,2,1188851.822,831581.8856
"12236","X0","X1",0.958019163459539,0.958019163459539,TRUE,"False Positive","temporal",4.25969860197366,0.074169206,14.66639,0.102602347,0,0.105074037,1,28.9,1,1,2,1,1,0,2,2,1188851.822,831581.8856
"2681","X0","X1",0.9938143491745,0.9938143491745,TRUE,"False Positive","spatial",4.42961146472353,0.107177459,15.4487178,0.035151783,0,0.077974386,1,18.3,1,1,2,1,7,0,2,2,1185298.018,838290.1583
"2681","X0","X1",0.95205382630229,0.95205382630229,TRUE,"False Positive","temporal",4.42961146472353,0.107177459,15.4487178,0.035151783,0,0.077974386,1,18.3,1,1,2,1,7,0,2,2,1185298.018,838290.1583
"11726","X0","X1",0.956077635288239,0.956077635288239,TRUE,"False Positive","spatial",4.60595276381673,0.09476573,28.71917,0.02807551,0,0.0307875,2,19.4,1,1,2,1,7,0,2,2,1187125,833797.9
"11726","X0","X1",0.98969417065382,0.98969417065382,TRUE,"False Positive","temporal",4.60595276381673,0.09476573,28.71917,0.02807551,0,0.0307875,2,19.4,1,1,2,1,7,0,2,2,1187125,833797.9
"3487","X0","X1",0.985857486724854,0.985857486724854,TRUE,"False Positive","spatial",4.97714197169518,0.114704224,15.715354,0.016919911,0,0.073639273,1,19.2,1,1,2,1,7,0,2,2,1185080.273,838052.5957
"3487","X0","X1",0.959007449448109,0.959007449448109,TRUE,"False Positive","temporal",4.97714197169518,0.114704224,15.715354,0.016919911,0,0.073639273,1,19.2,1,1,2,1,7,0,2,2,1185080.273,838052.5957
"8732","X0","X1",0.971888661384583,0.971888661384583,TRUE,"False Positive","spatial",4.97310153715715,0.08458921,14.74485,0.02685067,0,0.03537517,2,18.8,1,1,2,1,7,0,1,1,1184202,837547
"8732","X0","X1",0.972571011632681,0.972571011632681,TRUE,"False Positive","temporal",4.97310153715715,0.08458921,14.74485,0.02685067,0,0.03537517,2,18.8,1,1,2,1,7,0,1,1,1184202,837547
"12353","X0","X1",0.966593384742737,0.966593384742737,TRUE,"False Positive","spatial",4.81307335136289,0.09165026,16.38386,0.00874235,0,0.04964108,2,11.2,1,1,2,1,7,0,0,0,1184436,836896
"12353","X0","X1",0.977440306916833,0.977440306916833,TRUE,"False Positive","temporal",4.81307335136289,0.09165026,16.38386,0.00874235,0,0.04964108,2,11.2,1,1,2,1,7,0,0,0,1184436,836896
"8590","X0","X1",0.991506993770599,0.991506993770599,TRUE,"False Positive","spatial",5.57361014999715,0.11883983,13.8952633,0.009809549,0,0.054529557,2,18.9,1,1,2,1,7,0,0,0,1184858.557,837382.3565
"8590","X0","X1",0.952481962740421,0.952481962740421,TRUE,"False Positive","temporal",5.57361014999715,0.11883983,13.8952633,0.009809549,0,0.054529557,2,18.9,1,1,2,1,7,0,0,0,1184858.557,837382.3565
"3018","X0","X1",0.990183293819427,0.990183293819427,TRUE,"False Positive","spatial",5.56600449709472,0.11883983,13.8952633,0.009809549,0,0.054529557,2,18.9,1,1,2,1,7,0,0,0,1184858.557,837382.3565
"3018","X0","X1",0.952481962740421,0.952481962740421,TRUE,"False Positive","temporal",5.56600449709472,0.11883983,13.8952633,0.009809549,0,0.054529557,2,18.9,1,1,2,1,7,0,0,0,1184858.557,837382.3565
"5075","X0","X1",0.968799352645874,0.968799352645874,TRUE,"False Positive","spatial",4.69936273089398,0.1480327,14.41252,0.007477429,0,0.08545575,2,19.6,2,1,2,1,7,0,3,3,1186031,836744.4
"5075","X0","X1",0.972339311614633,0.972339311614633,TRUE,"False Positive","temporal",4.69936273089398,0.1480327,14.41252,0.007477429,0,0.08545575,2,19.6,2,1,2,1,7,0,3,3,1186031,836744.4
"1805","X0","X1",0.988593339920044,0.988593339920044,TRUE,"False Positive","spatial",4.19991254052377,0.068258997,15.1847984,0.219149645,0,0.042765317,2,30,1,1,1,1,7,0,0,0,1183494.13,838622.913
"1805","X0","X1",0.952437188476324,0.952437188476324,TRUE,"False Positive","temporal",4.19991254052377,0.068258997,15.1847984,0.219149645,0,0.042765317,2,30,1,1,1,1,7,0,0,0,1183494.13,838622.913
"10785","X0","X1",0.99243426322937,0.99243426322937,TRUE,"False Positive","spatial",5.41338723327093,0.107155941,14.8828846,0.019316062,0,0.102729308,1,14.5,1,1,1,1,7,0,0,0,1188508.605,837014.4163
"10785","X0","X1",0.946649089455605,0.946649089455605,TRUE,"False Positive","temporal",5.41338723327093,0.107155941,14.8828846,0.019316062,0,0.102729308,1,14.5,1,1,1,1,7,0,0,0,1188508.605,837014.4163
"5088","X0","X1",0.966007053852081,0.966007053852081,TRUE,"False Positive","spatial",4.78425087530676,0.0848511,14.83409,0.01034158,0,0.03026343,2,17.3,1,1,2,1,7,0,1,1,1183993,836865.2
"12359","X0","X1",0.966007053852081,0.966007053852081,TRUE,"False Positive","spatial",4.98161277367891,0.09201695,16.47248,0.01502276,0,0.03533443,2,17.6,2,1,2,1,7,0,4,4,1184210,837102.3
"5088","X0","X1",0.971910160034895,0.971910160034895,TRUE,"False Positive","temporal",4.78425087530676,0.0848511,14.83409,0.01034158,0,0.03026343,2,17.3,1,1,2,1,7,0,1,1,1183993,836865.2
"12359","X0","X1",0.971910160034895,0.971910160034895,TRUE,"False Positive","temporal",4.98161277367891,0.09201695,16.47248,0.01502276,0,0.03533443,2,17.6,2,1,2,1,7,0,4,4,1184210,837102.3
"8284","X0","X1",0.984624028205872,0.984624028205872,TRUE,"False Positive","spatial",3.74627844665435,0.1037234,14.20017,0.1017485,0,0.06814156,1,16.4,1,1,2,1,1,0,0,0,1188209,831598.3
"8284","X0","X1",0.952696837484837,0.952696837484837,TRUE,"False Positive","temporal",3.74627844665435,0.1037234,14.20017,0.1017485,0,0.06814156,1,16.4,1,1,2,1,1,0,0,0,1188209,831598.3
"2882","X0","X1",0.954127490520477,0.954127490520477,TRUE,"False Positive","spatial",5.07258554519403,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,3,1,1,0,1,1,1189176.316,832185.9225
"2882","X0","X1",0.981680560857058,0.981680560857058,TRUE,"False Positive","temporal",5.07258554519403,0.070018388,17.6767906,0.013925373,0,0.114899863,2,18.6,1,1,3,1,1,0,1,1,1189176.316,832185.9225
"8042","X1","X0",0.00557685410603881,0.994423145893961,TRUE,"False Negative","spatial",2.93229862849317,0.139127886,55.4952002,0,0,0.034562199,1,14.8,1,1,2,1,4,0,1,1,1196505.274,853754.6769
"8042","X0","X1",0.938937023282051,0.938937023282051,TRUE,"False Positive","temporal",2.93229862849317,0.139127886,55.4952002,0,0,0.034562199,1,14.8,1,1,2,1,4,0,1,1,1196505.274,853754.6769
"3228","X0","X1",0.956208407878876,0.956208407878876,TRUE,"False Positive","spatial",3.6848664390965,0.113086461,25.550491,0.008787123,0,0.063922246,2,11.8,2,1,2,1,1,0,5,5,1187902.841,832218.4184
"3228","X0","X1",0.97677786462009,0.97677786462009,TRUE,"False Positive","temporal",3.6848664390965,0.113086461,25.550491,0.008787123,0,0.063922246,2,11.8,2,1,2,1,1,0,5,5,1187902.841,832218.4184
"3340","X0","X1",0.963483870029449,0.963483870029449,TRUE,"False Positive","spatial",4.94092584573666,0.164617353,18.4502423,0.002750691,0,0.061539227,1,20.8,1,1,2,1,7,0,1,1,1186739.552,836255.7374
"3340","X0","X1",0.969001539051533,0.969001539051533,TRUE,"False Positive","temporal",4.94092584573666,0.164617353,18.4502423,0.002750691,0,0.061539227,1,20.8,1,1,2,1,7,0,1,1,1186739.552,836255.7374
"10291","X0","X1",0.972824037075043,0.972824037075043,TRUE,"False Positive","spatial",2.57729050838294,0.09941924,12.61991,0.06477056,0,0.072741,1,4.6,1,1,2,1,1,0,1,1,1187455,831283.4
"10291","X0","X1",0.958375994116068,0.958375994116068,TRUE,"False Positive","temporal",2.57729050838294,0.09941924,12.61991,0.06477056,0,0.072741,1,4.6,1,1,2,1,1,0,1,1,1187455,831283.4
"448","X0","X1",0.977166175842285,0.977166175842285,TRUE,"False Positive","spatial",4.61684034778995,0.074169206,14.66639,0.102602347,0,0.105074037,1,28.9,1,1,1,1,1,0,2,2,1188851.822,831581.8856
"448","X0","X1",0.953685913234949,0.953685913234949,TRUE,"False Positive","temporal",4.61684034778995,0.074169206,14.66639,0.102602347,0,0.105074037,1,28.9,1,1,1,1,1,0,2,2,1188851.822,831581.8856
"8","X1","X0",0.0113286338746548,0.988671366125345,TRUE,"False Negative","spatial",2.6198559589612,0.048526607,77.8278871,0,0,0.010320694,1,15.9,1,1,1,1,4,0,1,1,1196537.431,853219.723599999
"8","X0","X1",0.941752918064594,0.941752918064594,TRUE,"False Positive","temporal",2.6198559589612,0.048526607,77.8278871,0,0,0.010320694,1,15.9,1,1,1,1,4,0,1,1,1196537.431,853219.723599999
"10293","X0","X1",0.972824037075043,0.972824037075043,TRUE,"False Positive","spatial",2.55807034949182,0.09941924,12.61991,0.06477056,0,0.072741,1,4.6,2,1,2,1,1,0,1,1,1187455,831283.4
"10293","X0","X1",0.957094613462687,0.957094613462687,TRUE,"False Positive","temporal",2.55807034949182,0.09941924,12.61991,0.06477056,0,0.072741,1,4.6,2,1,2,1,1,0,1,1,1187455,831283.4
"10292","X0","X1",0.972824037075043,0.972824037075043,TRUE,"False Positive","spatial",2.55508544154955,0.09941924,12.61991,0.06477056,0,0.072741,1,4.6,1,1,2,1,1,0,1,1,1187455,831283.4
"10292","X0","X1",0.955456525087357,0.955456525087357,TRUE,"False Positive","temporal",2.55508544154955,0.09941924,12.61991,0.06477056,0,0.072741,1,4.6,1,1,2,1,1,0,1,1,1187455,831283.4
